iter	Passed	Remaining
646	4267	2328
647	4274	2321
648	4281	2315
649	4288	2309
650	4295	2302
651	4302	2296
652	4309	2289
653	4316	2283
654	4323	2277
655	4330	2270
656	4337	2264
657	4343	2257
658	4350	2251
659	4357	2244
660	4364	2238
661	4371	2231
662	4377	2225
663	4384	2218
664	4390	2211
665	4396	2205
666	4403	2198
667	4410	2192
668	4417	2185
669	4423	2178
670	4430	2172
671	4437	2165
672	4445	2159
673	4455	2154
674	4464	2149
675	4471	2142
676	4479	2137
677	4485	2130
678	4491	2123
679	4497	2116
680	4503	2109
681	4509	2102
682	4515	2095
683	4521	2088
684	4527	2081
685	4533	2075
686	4539	2068
687	4545	2061
688	4551	2054
689	4557	2047
690	4562	2040
691	4568	2033
692	4575	2026
693	4581	2020
694	4587	2013
695	4593	2006
696	4598	1999
697	4605	1992
698	4611	1985
699	4616	1978
700	4623	1971
701	4629	1965
702	4635	1958
703	4640	1951
704	4647	1944
705	4653	1937
706	4659	1930
707	4665	1924
708	4671	1917
709	4677	1910
710	4683	1903
711	4688	1896
712	4694	1889
713	4701	1883
714	4706	1876
715	4713	1869
716	4718	1862
717	4724	1855
718	4730	1848
719	4735	1841
720	4741	1834
721	4747	1828
722	4754	1821
723	4759	1814
724	4765	1807
725	4771	1800
726	4777	1793
727	4783	1787
728	4789	1780
729	4795	1773
730	4801	1766
731	4807	1759
732	4813	1753
733	4820	1746
734	4826	1740
735	4832	1733
736	4838	1726
737	4844	1719
738	4850	1713
739	4856	1706
740	4862	1699
741	4868	1692
742	4874	1686
743	4880	1679
744	4886	1672
745	4893	1666
746	4899	1659
747	4906	1652
748	4912	1646
749	4918	1639
750	4925	1633
751	4931	1626
752	4937	1619
753	4944	1613
754	4950	1606
755	4956	1599
756	4963	1593
757	4969	1586
758	4975	1579
759	4981	1573
760	4988	1566
761	4994	1559
762	5000	1553
763	5007	1546
764	5013	1540
765	5019	1533
766	5026	1526
767	5032	1520
768	5038	1513
769	5044	1506
770	5050	1500
771	5057	1493
772	5063	1486
773	5070	1480
774	5075	1473
775	5081	1466
776	5088	1460
777	5094	1453
778	5100	1447
779	5106	1440
780	5112	1433
781	5118	1426
782	5125	1420
783	5131	1413
784	5136	1406
785	5142	1400
786	5148	1393
787	5155	1386
788	5160	1380
789	5166	1373
790	5172	1366
791	5178	1360
792	5185	1353
793	5190	1346
794	5197	1340
795	5202	1333
796	5209	1326
797	5215	1320
798	5221	1313
799	5227	1306
800	5233	1300
801	5239	1293
802	5246	1287
803	5252	1280
804	5258	1273
805	5264	1267
806	5269	1260
807	5275	1253
808	5281	1246
809	5287	1240
810	5294	1233
811	5300	1227
812	5307	1220
813	5313	1214
814	5319	1207
815	5325	1200
816	5331	1194
817	5337	1187
818	5342	1180
819	5348	1174
820	5354	1167
821	5361	1160
822	5367	1154
823	5373	1147
824	5379	1141
825	5385	1134
826	5391	1127
827	5398	1121
828	5404	1114
829	5411	1108
830	5418	1101
831	5424	1095
832	5430	1088
833	5437	1082
834	5443	1075
835	5449	1069
836	5456	1062
837	5462	1055
838	5468	1049
839	5474	1042
840	5480	1036
841	5486	1029
842	5492	1022
843	5498	1016
844	5504	1009
845	5510	1003
846	5516	996
847	5523	989
848	5529	983
849	5536	977
850	5542	970
851	5549	963
852	5555	957
853	5561	950
854	5567	944
855	5574	937
856	5580	931
857	5587	924
858	5593	918
859	5600	911
860	5606	905
861	5613	898
862	5619	892
863	5625	885
864	5632	879
865	5638	872
866	5645	865
867	5651	859
868	5658	852
869	5664	846
870	5670	839
871	5677	833
872	5682	826
873	5688	820
874	5695	813
875	5701	807
876	5708	800
877	5714	794
878	5720	787
879	5726	780
880	5732	774
881	5738	767
882	5745	761
883	5751	754
884	5758	748
