,cfr,nombre,eslora_total,arqueo_gt,material_casco,potencia_kw,estado_rgfp,Puerto,Provincia,Comunidad Autónoma,Tipo de Arte,Edad_buque,cluster
20833,ESP000051889,EL GABRIEL,4.23,0.5,Madera,14.71,Alta Definitiva,Cudillero,Asturias,Asturias,Artes menores,27,7
20834,ESP000051890,EL ISIDRO,4.0,0.5266666666666666,Madera,6.175999999999999,Baja Definitiva,Luarca,Asturias,Asturias,Desconocido,3,8
20835,ESP000051891,GAVIOTA,3.63,0.36,Madera,5.882666666666667,Alta Definitiva,Puerto de Vega,Asturias,Asturias,Artes menores,36,7
20836,ESP000051892,LA MARIEGA,5.7,1.05,Madera,11.03,Baja Definitiva,Oviñana,Asturias,Asturias,Artes menores,26,0
20837,ESP000051893,LIDIA,3.74,0.37,Madera,4.41,Alta Definitiva,Luarca,Asturias,Asturias,Artes menores,36,7
20838,ESP000051894,MAGALY,4.6,0.67,Madera,6.411333333333332,Baja Definitiva,Luarca,Asturias,Asturias,Artes menores,11,10
20839,ESP000051896,TIBURON,3.5,0.3,Madera,2.94,Baja Definitiva,Luarca,Asturias,Asturias,Artes menores,6,10
20840,ESP000051897,VICTORIA,4.6,0.67,Madera,5.88,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,19,0
20841,ESP000051898,BENITO,4.72,0.83,Madera,5.88,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,16,0
20842,ESP000051899,CONCHI,4.6,0.71,Madera,2.94,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,18,0
20843,ESP000051900,JUAN CARLOS,4.7,0.85,Madera,7.35,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,5,10
20844,ESP000051901,ESTELA,4.6,0.75,Madera,4.41,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,5,10
20845,ESP000051902,PILAR,5.1,0.95,Poliester,11.03,Alta Definitiva,El Grove,Pontevedra,Galicia,Artes menores,36,3
20846,ESP000051903,ANDURIÑA,4.9,0.81,Madera,5.88,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,11,10
20847,ESP000051904,RAMON,4.6,0.75,Madera,4.41,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,11,10
20848,ESP000051905,FATIMA,5.1,0.94,Madera,22.06,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,29,7
20849,ESP000051906,ALBA,4.55,0.69,Madera,5.88,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,19,0
20850,ESP000051907,MARIA ISABEL,4.6,0.75,Madera,4.41,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,11,10
20851,ESP000051908,MARGARITA,4.53,0.76,Madera,5.88,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,19,0
20852,ESP000051909,CIELO,4.4,0.43,Madera,4.41,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,5,10
20853,ESP000051910,SANTANTON,5.1,0.96,Madera,5.88,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,24,0
20854,ESP000051911,HADA,4.6,0.71,Madera,11.03,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,16,0
20855,ESP000051912,NOELIA,4.6,0.69,Madera,5.88,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,22,0
20856,ESP000051913,ARCO DA BELLA,4.64,0.7,Madera,8.83,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,22,0
20857,ESP000051914,ULISES,4.26,0.65,Madera,7.35,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,22,0
20858,ESP000051915,ESTRELLA DEL MAR,4.6,0.78,Madera,7.35,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,11,10
20859,ESP000051916,A GUIA,5.25,1.15,Madera,11.03,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,30,7
20860,ESP000051917,POLVORA,6.05,1.37,Fibra de Vidrio/Plástico,22.06,Alta Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,36,3
20861,ESP000051918,CELIA,4.85,0.73,Madera,5.88,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,22,0
20862,ESP000051919,ANA MARIA,4.6,0.78,Madera,11.03,Baja Definitiva,Moaña,Pontevedra,Galicia,Artes menores,16,0
20863,ESP000051920,MARIO,4.74,0.65,Madera,11.03,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,19,0
20864,ESP000051921,BENITO,4.4,0.56,Madera,4.41,Baja Definitiva,Bayona,Pontevedra,Galicia,Artes menores,14,0
20865,ESP000051922,ISABEL,4.75,0.7,Madera,11.03,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,18,0
20866,ESP000051923,CARMELA,4.0,0.32,Madera,2.94,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,17,0
20867,ESP000051924,ELVIRA,4.32,0.66,Poliester,7.28,Alta Definitiva,La Coruña,A Coruña,Galicia,Artes menores,36,3
20868,ESP000051925,FELIX,3.4,0.29,Madera,7.846000000000001,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,19,0
20869,ESP000051926,MARIA ISABEL,3.898000000000001,0.32,Madera,7.697333333333333,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,9,10
20870,ESP000051927,YOLI,6.15,0.79,Madera,26.48,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,14,0
20871,ESP000051928,JAIME,4.72,0.68,Poliester,18.38,Alta Definitiva,Ferrol,A Coruña,Galicia,Artes menores,36,3
20872,ESP000051929,DORINDA,4.2,0.33,Madera,7.35,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,16,0
20873,ESP000051930,PILAR,3.5,0.48,Madera,8.825333333333333,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,19,0
20874,ESP000051931,VICTORIA,3.5,0.26,Madera,7.501333333333333,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,19,0
