cfr,nombre,fc_alta_rgfp,eslora_total,arqueo_gt,material_casco,potencia_kw,estado_rgfp,fc_estado,Puerto,Provincia,Comunidad Autónoma,Tipo de Arte
ESP000007604,CIUDAD DE VIVERO,1989-05-10,23.0,92.80599999999998,Madera,294.2,Baja Definitiva,1991-12-31,Ribadeo,Lugo,Galicia,Artes fijas
ESP000007606,PUENTE DE LOS SANTOS,1989-05-10,23.0,78.08,Madera,220.65,Baja Definitiva,1993-06-14,Figueras,Asturias,Asturias,Artes fijas
ESP000007607,FERNANDON,1989-05-10,20.1,54.92,Madera,209.62,Baja Definitiva,1998-10-14,Figueras,Asturias,Asturias,Artes fijas
ESP000007612,CINCO HERMANOS,1989-05-10,5.6,1.15,Madera,8.83,Baja Definitiva,1996-06-20,Viavelez,Asturias,Asturias,Artes menores
ESP000007614,MANUEL AMADOR,1989-05-10,5.0,0.7906666666666666,Madera,5.88,Baja Definitiva,1992-07-09,Viavelez,Asturias,Asturias,Desconocido
ESP000007615,SAN ROMAN DEL EO,1989-05-10,14.8,44.29,Madera,117.68,Baja Definitiva,1998-08-03,Viavelez,Asturias,Asturias,Artes fijas
ESP000007616,HERMANOS BEDIA,1989-05-10,16.0,101.89,Madera,94.14,Baja Definitiva,1999-03-26,Viavelez,Asturias,Asturias,Artes fijas
ESP000007618,HERMANOS GUERRA,1989-05-10,14.9,40.19,Madera,117.68,Baja Definitiva,1995-06-12,Puerto de Vega,Asturias,Asturias,Artes fijas
ESP000007619,MADRE SABINA,1989-05-10,20.6,83.65133333333331,Madera,268.46,Baja Definitiva,1991-12-31,Gijon,Asturias,Asturias,Artes fijas
ESP000007620,CARMEN TERESA,1989-05-10,23.08,91.54,Madera,316.26,Baja Definitiva,1997-03-12,Burela,Lugo,Galicia,Artes fijas
ESP000007622,NUEVA MARINERA,1989-05-10,5.7,1.9966666666666664,Madera,13.24,Baja Definitiva,1992-12-18,Puerto de Vega,Asturias,Asturias,Desconocido
ESP000007623,JESUS JOSE,1989-05-10,8.5,4.0,Madera,66.19,Baja Definitiva,1999-06-03,Puerto de Vega,Asturias,Asturias,Artes menores
ESP000007626,TININ,1989-05-10,8.55,4.07,Madera,52.96,Baja Definitiva,2003-04-01,Viavelez,Asturias,Asturias,Artes menores
ESP000007627,NUEVO CARMAREZ,1989-05-10,13.7,15.19,Madera,110.32,Baja Definitiva,2005-05-23,Candas,Asturias,Asturias,Palangre
ESP000007628,EL JORGE,1989-05-10,12.27,8.504,Madera,61.05,Baja Definitiva,1990-12-20,Puerto de Vega,Asturias,Asturias,Desconocido
ESP000007629,MARIA ENCARNACION,1989-05-10,11.615333333333332,8.8,Madera,62.52,Baja Definitiva,2001-03-13,Puerto de Vega,Asturias,Asturias,Artes fijas
ESP000007631,SATURNO JUAN,1989-05-10,13.25,30.71,Madera,94.14,Baja Definitiva,1997-09-02,Burela,Lugo,Galicia,Artes fijas
ESP000007632,MADRE VICTORIA,1989-05-10,16.32,35.50666666666666,Madera,169.16,Baja Definitiva,1992-05-21,Puerto de Vega,Asturias,Asturias,Artes fijas
ESP000007633,MIS NIETOS,1989-05-10,6.0,1.27,Madera,18.39,Alta Definitiva,2006-06-27,Cudillero,Asturias,Asturias,Artes menores
ESP000007634,NUEVA ELENA II,1989-05-10,6.8,1.83,Madera,30.89,Baja Definitiva,1998-07-10,Puerto de Vega,Asturias,Asturias,Palangre
ESP000007635,VIRGEN DEL ROSARIO,1989-05-10,6.4,1.89,Madera,30.89,Baja Definitiva,1996-11-05,Burela,Lugo,Galicia,Palangre
ESP000007636,ZENIT,1989-05-10,6.5,1.65,Madera,22.06,Baja Definitiva,2014-10-09,Viavelez,Asturias,Asturias,Palangre
ESP000007637,RETIRADO,1989-05-10,4.9,0.68,Madera,31.63,Baja Definitiva,1998-07-10,Puerto de Vega,Asturias,Asturias,Artes menores
ESP000007639,NUEVO VALLE,1989-05-10,6.8,1.88,Madera,35.3,Baja Definitiva,1998-07-10,Puerto de Vega,Asturias,Asturias,Artes menores
ESP000007640,FLOR MARIA,1989-05-10,4.5,0.62,Madera,4.41,Baja Definitiva,1994-08-22,Puerto de Vega,Asturias,Asturias,Desconocido
ESP000007643,SANTUARIO DE VILLAORIL,1989-05-10,6.5,1.0539999999999998,Madera,5.15,Baja Definitiva,1993-02-18,Puerto de Vega,Asturias,Asturias,Palangre
ESP000007644,LA NINFA,1989-05-10,5.45,0.97,Madera,5.88,Baja Definitiva,2009-02-04,Puerto de Vega,Asturias,Asturias,Artes menores
ESP000007648,NUEVO ALVI,1989-05-10,8.1,2.23,Madera,12.5,Baja Definitiva,1998-07-10,Puerto de Vega,Asturias,Asturias,Artes menores
ESP000007649,LA PINTORA,1989-05-10,6.98,2.2806666666666664,Madera,30.89,Baja Definitiva,1991-06-24,Luarca,Asturias,Asturias,Artes fijas
ESP000007650,SOIRANA II,1989-05-10,7.49,1.96,Madera,22.06,Baja Definitiva,2021-04-13,Santoña,Cantabria,Cantabria,Artes menores
ESP000007651,JOSE RAMON,1989-05-10,6.8,3.4279999999999995,Madera,33.1,Baja Definitiva,1990-06-30,Puerto de Vega,Asturias,Asturias,Desconocido
ESP000007652,NUEVA AMAPOLA,1989-05-10,5.0,0.92,Madera,12.5,Baja Definitiva,1996-06-20,Puerto de Vega,Asturias,Asturias,Artes menores
ESP000007654,HERMANOS GAYOL,1989-05-10,15.53,13.355333333333336,Madera,94.14,Baja Definitiva,1991-05-03,Luarca,Asturias,Asturias,Artes fijas
ESP000007656,MARIA IRENE,1989-05-10,16.4,28.53,Madera,176.52,Baja Definitiva,1996-11-19,Luarca,Asturias,Asturias,Artes fijas
ESP000007657,ROA,1989-05-10,6.7,1.62,Madera,8.83,Baja Definitiva,2014-12-01,Luarca,Asturias,Asturias,Artes menores
